actor_id,case_id,record_status,coding_version,coder,date_coded,actor_label,identity_resolution,role_layer,victim_facing_function,financial_function,function_assignment_basis,role_primary,role_secondary,conduct_assessed,direct_victim_contact,attribution_basis_primary,attribution_basis_secondary,attribution_strength,attribution_limitations,alternative_explanation,source_ids,relationship_note
SEIAI-0001-A01,SEIAI-0001,reviewed,0.2.0,Hamzah,2026-09-04,Original Nashik Police impersonation operator(s),unknown,victim_facing,yes,no,Atlas victim_facing layer,victim_facing_operator,social_engineering_operator,"WhatsApp voice/video police impersonation, threats, secrecy/isolation, information elicitation and transfer instructions.",yes,witness_or_statement,message_or_email_content,unclear,The public material reconstructs the conduct but does not identify the human operator of the impersonating WhatsApp account.,,SRC-SEIAI-0001-01;SRC-SEIAI-0001-02;SRC-SEIAI-0001-03,"May overlap with downstream actors, but the reviewed record does not establish that overlap."
SEIAI-0001-A02,SEIAI-0001,reviewed,0.2.0,Hamzah,2026-09-04,Downstream beneficiary-account network,actor_cluster,financial,no,yes,Atlas financial layer,bank_account_controller,money_mule,Receiving and moving victim funds through multiple beneficiary/intermediary accounts.,no,bank_account_or_money_flow,cdr_or_telecom_record,moderate,Financial and communications linkage does not establish that every account-linked person knew the full scheme or conducted the original impersonation.,Some account-linked persons may have had narrower facilitation or mule roles.,SRC-SEIAI-0001-01;SRC-SEIAI-0001-02;SRC-SEIAI-0001-03;SRC-SEIAI-0001-04;SRC-SEIAI-0001-06,Cluster summarises several downstream roles rather than treating all accused as equivalent.
SEIAI-0001-A03,SEIAI-0001,reviewed,0.2.0,Hamzah,2026-09-04,Cash-out and withdrawal actors,actor_cluster,financial,no,yes,Atlas financial layer,cashout_actor,intermediary,"Withdrawing, clearing or cashing out portions of transferred fraud proceeds.",no,financial_withdrawal_or_cashout,bank_account_or_money_flow,moderate,Cash-out activity does not establish participation in the initial impersonation or full knowledge of the scheme.,A person may have handled or withdrawn funds without being the victim-facing operator.,SRC-SEIAI-0001-01;SRC-SEIAI-0001-02;SRC-SEIAI-0001-04,"May overlap with the beneficiary-account cluster, but the assessed conduct is different."
SEIAI-0001-A04,SEIAI-0001,reviewed,0.2.0,Hamzah,2026-09-04,Bank-cashier facilitation actor,identified,financial,no,yes,Atlas financial layer,intermediary,cashout_actor,"Allegedly facilitating cheque clearance, withdrawal and transfer activity involving fraud-linked funds while working as a bank cashier.",no,bank_account_or_money_flow,documentary_record,moderate,"The court treated the facilitation evidence as prima facie at bail stage; it does not establish participation in the original police impersonation, and knowledge/intent remained for trial.",The defence argued that the cashier acted on manager-approved vouchers and lacked knowledge of the fraudulent source of funds.,SRC-SEIAI-0001-02,"Specific financial-facilitation role, separated from the original caller and other account actors."
SEIAI-0001-A05,SEIAI-0001,reviewed,0.2.0,Hamzah,2026-09-04,Account-procurement actor,identified,financial,no,yes,Atlas financial layer,account_provider,,Allegedly arranging/purchasing bank accounts and account kits for use in moving cyber-fraud proceeds.,no,co_accused_link,documentary_record,moderate,"The order records a co-accused disclosure and case-diary material supporting account procurement, but this remains bail-stage evidence and does not identify the original caller.",The defence argued there was no direct evidence that the actor was the caller and challenged the downstream linkage.,SRC-SEIAI-0001-03,Specific account-procurement role separated from other downstream actors.
SEIAI-0001-A06,SEIAI-0001,reviewed,0.2.0,Hamzah,2026-09-04,Account-rental/provision actor,identified,financial,no,yes,Atlas financial layer,account_provider,,Allegedly providing a third-party bank account on rent for transactions involving fraud proceeds and receiving consideration.,no,bank_account_or_money_flow,confession_or_admission,moderate,The court relied on bank-account details and a memorandum statement at bail stage; the role does not establish victim-facing impersonation or the full conspiracy.,The defence argued there was no direct caller evidence and challenged attribution of the broader conspiracy.,SRC-SEIAI-0001-04,Specific account-provision role separated from the original caller and other financial actors.
SEIAI-0002-A01,SEIAI-0002,reviewed,0.2.0,Hamzah,2026-09-04,Initial investment solicitor / WhatsApp-group operator(s),unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Soliciting the complainant, presenting the investment pretext, adding the complainant to VIP PROFIT MAKERS and directing payment activity.",yes,witness_or_statement,message_or_email_content,unclear,The source reconstructs the interaction but does not identify the human operator of the WhatsApp persona/group.,,SRC-SEIAI-0002-01,"May overlap with the app operator or financial actors, but this is not established."
SEIAI-0002-A02,SEIAI-0002,reviewed,0.2.0,Hamzah,2026-09-04,ALFA NAVIGATOR app/infrastructure operator(s),unknown,technical,no,no,no paper-specific evidence assigning either primary function,technical_infrastructure_operator,platform_account_operator,Operating or controlling the app/infrastructure through which investment activity and payment instructions were presented.,unknown,documentary_record,unclear,not_assessed,"No operator-side hosting, account-control, device or provider evidence is described.",,SRC-SEIAI-0002-01,"Could overlap with the WhatsApp group operator, but the source does not establish this."
SEIAI-0002-A03,SEIAI-0002,reviewed,0.2.0,Hamzah,2026-09-04,Beneficiary-account controller cluster,actor_cluster,financial,no,yes,Atlas financial layer,bank_account_controller,money_mule,Receiving the complainant transfers across seven distinct beneficiary accounts.,no,bank_account_or_money_flow,documentary_record,limited,The source identifies accounts and transfers but gives little evidence of who controlled each account or knew the wider fraud.,Some accounts may have functioned as mule/intermediary accounts.,SRC-SEIAI-0002-01,Financial layer only.
SEIAI-0002-A04,SEIAI-0002,reviewed,0.2.0,Hamzah,2026-09-04,Bail applicant with unspecified alleged scheme role,identified,unknown,no,no,no paper-specific evidence assigning either primary function,unknown_role,,Alleged participation in the fraud for which the applicant was arrested and prosecuted.,unknown,unclear,,unclear,The source does not provide a sufficiently specific evidentiary chain to assign a stable operational role.,The applicant claimed that he had himself been duped and falsely implicated.,SRC-SEIAI-0002-01,Kept separate instead of forcing an unsupported victim-facing or financial role.
SEIAI-0003-A01,SEIAI-0003,reviewed,0.2.0,Hamzah,2026-09-04,Fake HR caller,unknown,victim_facing,yes,no,Atlas victim_facing layer,recruiter,social_engineering_operator,"Impersonating an HR executive, offering paid review tasks, seeding trust with small payouts and escalating to paid tasks.",yes,witness_or_statement,message_or_email_content,unclear,The applicant in the proceeding was not directly identified as this caller.,,SRC-SEIAI-0003-01,Separated from account-supply and cash-out roles.
SEIAI-0003-A02,SEIAI-0003,reviewed,0.2.0,Hamzah,2026-09-04,Account-supply and circulation actor,identified,financial,no,yes,Atlas financial layer,account_provider,intermediary,Allegedly supplying/circulating mule bank-account details used by the fraud network.,no,message_or_email_content,bank_account_or_money_flow,moderate,"The evidence supports an alleged financial-infrastructure role, not that this actor made the original HR call.",The applicant argued that his cryptocurrency activity was legitimate and that he did not know the complainant.,SRC-SEIAI-0003-01,This is the role assessed in the existing incident-level attribution field.
SEIAI-0003-A03,SEIAI-0003,reviewed,0.2.0,Hamzah,2026-09-04,CCTV-identified cash-withdrawal actor,identified,financial,no,yes,Atlas financial layer,cashout_actor,,Withdrawing fraud-linked funds from a beneficiary account and handing cash onward in the downstream chain.,no,cctv_or_location,bank_account_or_money_flow,moderate,"Bank CCTV and the money trail support the withdrawal role, but this does not establish authorship of the original HR impersonation or control of the wider scheme.",Cash-out can establish a downstream role without authorship of fraud communications.,SRC-SEIAI-0003-01,"Identified downstream cash-out role, distinct from the account-supply actor and fake HR caller."
SEIAI-0003-A04,SEIAI-0003,reviewed,0.2.0,Hamzah,2026-09-04,Calling-infrastructure operator(s),unknown,technical,no,no,no paper-specific evidence assigning either primary function,technical_infrastructure_operator,,Operating or controlling the calling infrastructure associated with the victim contact.,unknown,documentary_record,unclear,not_assessed,"The investigation traced calling numbers to waho.pro and noted U.S. hosting, but operator-side inquiry was still pending and no human operator was identified.",,SRC-SEIAI-0003-01,Technical layer separated from the financial layer.
SEIAI-0004-A01,SEIAI-0004,reviewed,0.2.0,Hamzah,2026-09-04,Fake Canada-relative caller,unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Impersonating the victim real Canada-based relative, presenting the fake incoming transfer and requesting emergency funds.",yes,witness_or_statement,message_or_email_content,unclear,The human operator is not identified in the reviewed order.,,SRC-SEIAI-0004-01,"May overlap with other callers, but the source presents distinct personas."
SEIAI-0004-A02,SEIAI-0004,reviewed,0.2.0,Hamzah,2026-09-04,Fake Axis Bank corroborator,unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,,Impersonating an Axis Bank head-office employee to corroborate the fictitious incoming transfer.,yes,witness_or_statement,,unclear,"No telecom, device or platform record identifies the caller.",,SRC-SEIAI-0004-01,Could be the same human as another caller; identity equivalence is not inferred.
SEIAI-0004-A03,SEIAI-0004,reviewed,0.2.0,Hamzah,2026-09-04,Medical-emergency caller,unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,,Using emotional distress and a medical-emergency narrative to reinforce the urgent payment request.,yes,witness_or_statement,,unclear,The operator identity and relationship to the other personas are not established.,,SRC-SEIAI-0004-01,"Persona may have been operated by the same person as another role, but no inference is made."
SEIAI-0004-A04,SEIAI-0004,reviewed,0.2.0,Hamzah,2026-09-04,Beneficiary-account-linked downstream actor,identified,financial,no,yes,Atlas financial layer,intermediary,bank_account_controller,"Alleged downstream connection to the account that received the victim INR 400,000 transfer.",no,bank_account_or_money_flow,sim_or_subscriber_record,limited,"The order does not establish that this actor made any of the relative, bank-official or medical-emergency calls; account control/knowledge is contested.",The actor may have been associated with the beneficiary account without being a social-engineering operator.,SRC-SEIAI-0004-01,Financial role deliberately separated from all three victim-facing personas.
SEIAI-0005-A01,SEIAI-0005,reviewed,0.2.0,Hamzah,2026-09-04,Fake Yahoo customer-support operator,unknown,victim_facing,yes,no,Atlas victim_facing layer,victim_facing_operator,social_engineering_operator,"Posing as customer support, inducing APK installation and eliciting debit-card information.",yes,witness_or_statement,,unclear,The public order does not identify the human operator of the fake support number.,,SRC-SEIAI-0005-01,Victim-facing role separated from later cash-out network.
SEIAI-0005-A02,SEIAI-0005,reviewed,0.2.0,Hamzah,2026-09-04,APK and compromise-infrastructure operator(s),unknown,technical,no,no,no paper-specific evidence assigning either primary function,technical_infrastructure_operator,,Supplying or operating the malicious APK/infrastructure that enabled device/card compromise.,unknown,documentary_record,ip_or_login_record,unclear,The order describes the APK mechanism and downstream technical records but does not provide a direct forensic chain tying the APK/infrastructure to a specific human operator.,,SRC-SEIAI-0005-01,"Could overlap with the support caller, but this is not established."
SEIAI-0005-A03,SEIAI-0005,reviewed,0.2.0,Hamzah,2026-09-04,Cash-out and beneficiary actor linked by CCTV/location,identified,financial,no,yes,Atlas financial layer,cashout_actor,bank_account_controller,Allegedly receiving and withdrawing fraud-linked funds within the downstream network.,no,cctv_or_location,bank_account_or_money_flow,moderate,The evidence supports a downstream cash-out role but does not show that this actor operated the fake customer-care number or APK.,The actor denied involvement and disputed the significance of location evidence.,SRC-SEIAI-0005-01,Financial layer only.
SEIAI-0006-A01,SEIAI-0006,reviewed,0.2.0,Hamzah,2026-09-04,Victim-facing call-centre agents,actor_cluster,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Impersonating Microsoft/Apple personnel, presenting technical-support pretexts, inducing remote access and requesting payment.",yes,device_possession_or_forensics,message_or_email_content,moderate,The order does not map each victim interaction to a specific call-centre agent/session.,Operational evidence can establish the scheme without proving which individual agent handled each victim.,SRC-SEIAI-0006-01,"Cluster-level conduct assessment, not a finding about every worker."
SEIAI-0006-A02,SEIAI-0006,reviewed,0.2.0,Hamzah,2026-09-04,Call-centre ownership/management actor,identified,organisational,no,no,no paper-specific evidence assigning either primary function,organiser,coordinator,Owning/managing or exercising operational control over the call-centre business connected to the documented fraud infrastructure.,unknown,multiple_independent_sources,documentary_record,strong,The order is at bail stage and does not establish that the management actor personally made each fraudulent call.,The applicant argued that he was merely an owner and that commercial transfers were legitimate.,SRC-SEIAI-0006-01,"Strength applies to ownership/operational linkage, not victim-specific calling conduct."
SEIAI-0006-A03,SEIAI-0006,reviewed,0.2.0,Hamzah,2026-09-04,Malicious pop-up and remote-access infrastructure operator(s),actor_cluster,technical,no,no,no paper-specific evidence assigning either primary function,technical_infrastructure_operator,,Operating malicious URLs/pop-ups and technical infrastructure used to route victims into the support scam and enable remote access.,no,device_possession_or_forensics,documentary_record,moderate,The public material does not attribute each infrastructure component or remote session to a particular human operator.,,SRC-SEIAI-0006-01,May overlap with management or agent roles.
SEIAI-0007-A01,SEIAI-0007,reviewed,0.2.0,Hamzah,2026-09-04,Actor linked to fake matrimonial/profile operation,identified,hybrid,uncertain,uncertain,paper boundary: focal victim-facing linkage incomplete; paper boundary: focal financial linkage incomplete,platform_account_operator,social_engineering_operator,Alleged operation of multiple fictitious identities and participation in the broader relationship-based fraud pattern.,unknown,device_possession_or_forensics,multiple_independent_sources,strong,The case remained at trial stage and the evidence did not fully map every specific victim interaction to the identified actor.,The defence argued that beneficiary accounts were not in the actor name and that residence/location with co-accused did not prove direct participation.,SRC-SEIAI-0007-01,"Strength concerns the fake-identity operation, not a final guilt finding or every specific call."
SEIAI-0007-A02,SEIAI-0007,reviewed,0.2.0,Hamzah,2026-09-04,Fake Customs caller,unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,Impersonating Customs and demanding an airport penalty and later clearance payment.,yes,witness_or_statement,message_or_email_content,unclear,The specific human operator of the Customs persona is not identified.,,SRC-SEIAI-0007-01,May or may not overlap with the fake matrimonial persona operator.
SEIAI-0007-A03,SEIAI-0007,reviewed,0.2.0,Hamzah,2026-09-04,Beneficiary-account and cash-out network,actor_cluster,financial,no,yes,Atlas financial layer,bank_account_controller,cashout_actor,Providing/controlling accounts and cashing out proceeds across the wider fraud network.,no,bank_account_or_money_flow,cctv_or_location,moderate,Financial/cash-out evidence does not establish which actors created or operated each victim-facing persona.,Some account-linked persons may have narrower mule or cash-out roles.,SRC-SEIAI-0007-01,"Wider network, not limited to the single complainant payment."
