case_id,audit_status,primary_and_registered_sources_rechecked,incident_row_rechecked,actor_rows_rechecked,actor_function_coding_added,registered_source_ids,substantive_changes,audit_date,audit_note
SEIAI-0001,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0001-01;SRC-SEIAI-0001-02;SRC-SEIAI-0001-03;SRC-SEIAI-0001-04;SRC-SEIAI-0001-05;SRC-SEIAI-0001-06,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0002,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0002-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0003,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0003-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0004,corrected,yes,yes,yes,yes,SRC-SEIAI-0004-01,target_sector: '' -> 'household / family network',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0005,corrected,yes,yes,yes,yes,SRC-SEIAI-0005-01,target_sector: '' -> 'senior citizen / personal banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0006,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0006-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0007,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0007-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0008,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0008-01;SRC-SEIAI-0008-02,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0009,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0009-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0010,corrected,yes,yes,yes,yes,SRC-SEIAI-0010-01,target_sector: '' -> 'personal / private individual',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0011,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0011-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0012,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0012-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0013,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0013-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0014,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0014-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0015,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0015-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0016,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0016-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0017,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0017-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0018,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0018-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
